Altitude	Avg_CO2	Avg_Temp	Avg_Humid	Avg_Pressure	Avg_Gas	Avg_Wind
30	404	28.99259766	81.93496695	1012.06376	11910.5	1.5
35	384	33.38741596	63.30894262	1009.627893	12176.42424	5.8
35	421.8513514	32.18457401	74.96441341	1009.505021	12932.5	0
43	401.4	28.30885938	82.00555107	1008.971197	12143.68	0
47	373.36	34.44824219	61.65061303	1008.241721	12377.88	5.4
58	408.28	32.72558594	65.17177354	1006.618816	13133.84	0
59	378.44	30.39178906	73.60205193	1006.584858	12058.08	3
64	385.6	32.87279688	69.97386571	1006.157851	11448.48	0
65	373.48	29.83353125	76.09938112	1005.89057	12508.16	0.6
69	383	40.63957031	44.3313685	1005.986298	11064	6.6
72	368.76	33.03932031	65.78300028	1005.242895	10936.56	5.1
76	375.0952381	31.33928199	73.35906814	1004.808194	11902.80952	0
83	375.8461538	29.17182692	79.01933026	1003.476969	11971.34615	4